UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12,STAT_HR,LOCK_HR,PRCH_HR,IDX_HR,PCHR_F,IMP_HR,FTEMP15,SA_EXCL,STAT_EAP,STAT_SA,STAT_S,STAT_EF,LOCK_EF,PRCH_EF,IDX_EF,PCEF_F,IMP_EF,PTA99_EF,PTACIPEF,PTB_EF,PTC_EF,PTD_EF,FORM_F,STAT_F,LOCK_F,PRCH_F,IDX_F,PCF_F,IMP_F,FYBEG,FYEND,GPFS,F1GASBAL,F2PELL,F3PELL,F_ATHLTC,STAT_SFA,LOCK_SFA,PRCH_SFA,IDX_SFA,PCSFA_F,IMP_SFA,STAT_GR,LOCK_GR,PRCH_GR,IDX_GR,PCGR_F,IMP_GR,COHRTSTU,HASGRURL,GRDISURL,STAT_GR2,LOCK_GR2,PRCH_GR2,IDX_GR2,IMP_GR2,NTRLDSTR,REV_IC,REV_C,REV_E12,REV_SFA,REV_HR,REV_EF,REV_F,REV_GR,REV_GR2 
100937,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"062010","052011",1,-2,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101028,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101073,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,1,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101116,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,3,1,8,-2,-2,.,-2,"072010","062011",1,-2,-2,2,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101143,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"http://www.escc.edu/adminoffices/registrar/SRTKpamphlet2005.pdf",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101161,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101189,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"062010","052011",1,-2,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101240,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"http://www.gadsdenstate.edu/faculty-and-staff/ir/documents/StudentRighttoKnowAthletics2010COMBINED_001.pdf",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101277,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,-2,1,-2,1,1,8,-2,-2,.,-2,1,-2,1,1,1,3,1,8,-2,-2,.,-2,"012010","122010",2,-2,-2,3,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,-2," ",-2,-2,-2,-2,-2,0,1,0,1,0,0,0,0,0,-2
101286,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"WWW.WALLACE.EDU",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
